# 12 + log(O/H) plus err, 12 + log(O/H) minus err , N/O plus err, N/O minus err
1.569868968114957256e-02,1.546529374630243626e-02,2.132604964264389613e-02,2.057497121489412426e-02
nan,nan,nan,nan
1.731244651235199980e-02,1.661583145890810007e-02,2.424984028323508289e-02,2.485064275151726426e-02
1.678117292261083193e-01,1.263347422498446448e-01,3.892267578878615963e-01,3.896502325592322014e-01
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.231226922946706930e-02,1.173608136615218213e-02,1.633250748610764330e-02,1.523474537278521855e-02
2.060061803419745152e-02,1.936141585208414617e-02,6.747648673918335560e-02,5.860819648622051653e-02
nan,nan,nan,nan
1.579692778208845530e-02,1.549436244520541704e-02,2.149707277183355442e-02,2.038386761062497068e-02
1.049344751418449379e-01,7.286561854632300772e-02,1.271225291126549528e-01,8.889677945575732987e-02
1.206069073206068876e-02,1.230054025866077726e-02,1.538107119137105058e-02,1.534202147241498296e-02
1.159000415321823491e-01,7.809794945632460295e-02,1.422137511768657714e-01,1.031621862427181680e-01
2.789690358095443974e-03,2.828770854178029506e-03,3.501147916678520444e-03,3.567542523049833415e-03
8.495035768723206357e-03,8.158477032321380731e-03,1.359677315746568582e-02,1.388079090742881661e-02
6.806690280688555521e-03,7.473799672918520973e-03,1.012142415473546615e-02,1.052749549724119570e-02
1.633158908097415152e-02,1.394887261363869820e-02,2.334662535849427872e-02,2.229574479412409910e-02
7.054998669774823102e-03,6.836096434527513636e-03,8.739962931641384256e-03,8.740589429689714362e-03
1.140023338582533095e-02,1.053166489993887824e-02,1.564690801100203366e-02,1.460607330245941582e-02
4.154296860872091490e-01,1.392516127991299257e-01,4.804293872298741053e-01,1.857209132133721963e-01
2.593726968470350461e-02,2.372398827016040240e-02,3.870474309319861528e-02,3.202212194984630639e-02
1.521785484539405105e-02,1.301272598123168721e-02,1.856529971327356213e-02,1.633966568187762702e-02
1.059806251797912845e-02,1.118800440538172611e-02,1.425457087513952448e-02,1.441676616662335500e-02
3.018367198646631361e-02,2.578192727776718041e-02,4.107110896353400459e-02,3.453709480569665258e-02
2.116367735563245978e-01,9.740092164179205148e-02,2.557543215803125269e-01,1.313892359600387638e-01
4.518763140985010418e-03,4.113671321232795740e-03,5.948888843237817511e-03,5.675776273168465710e-03
6.533272965132967160e-03,6.683270766712836285e-03,8.944300367116016920e-03,8.732562782653354588e-03
3.509587607060400682e-02,3.112655839620236467e-02,4.131305703474794783e-02,3.726812119837374926e-02
1.392036363494330957e-02,1.301143586790696853e-02,1.915408017846025393e-02,1.946843004070368879e-02
8.553208233231647181e-03,8.229193307007361471e-03,1.612314708335013322e-02,1.693270646188291609e-02
8.176703768435485825e-03,7.790137236440484308e-03,1.022093921746215425e-02,9.510287025626534829e-03
7.759236770927183287e-03,7.573460764177150119e-03,9.729818249605748717e-03,9.673750638370040913e-03
2.089500858982244486e-03,1.960010080447829265e-03,5.024601052731177998e-03,4.783960528608171420e-03
1.160361602532203329e-02,1.064171160036527126e-02,1.741215010692040085e-02,1.708294320252218279e-02
1.521034140709301707e-01,8.095544197281437371e-02,1.881379889681492890e-01,1.066880564010137949e-01
8.348262963349905447e-03,8.367762492538710281e-03,1.063920742673527160e-02,1.081488757860208857e-02
5.511770281323417203e-02,4.344154247475722624e-02,7.175206642784169586e-02,5.849042033963848530e-02
1.019139305501599001e-02,9.779522534487650881e-03,1.665614329555638318e-02,1.580040652727100758e-02
8.665453626631158812e-02,6.337004869114175321e-02,1.372738154357692475e-01,9.580233518593725406e-02
8.161697374440158442e-03,8.050704490816055006e-03,1.235548362106604452e-02,1.193016139385369608e-02
2.539302972320668927e-01,9.444749252577012977e-02,2.952512927818876087e-01,1.240575536999319467e-01
2.227342643072983408e-01,9.787145855797622918e-02,2.665612786058014771e-01,1.291378134246845000e-01
1.155835406602541806e-03,1.286800341608283381e-03,2.107824612860071181e-03,2.078238648989096451e-03
2.714904432313453020e-01,9.973351445072541066e-02,3.241843974760076907e-01,1.311053602179764188e-01
