g,ID,logSFR,e_logSFR,ne,e_ne,Te,e_Te,logO,e_logO
66,J0925+1403,1.39,0.023,100,,13580,830,8.022,0.037
0,J003601+003307,1.184,0.024,100,,15770,970,7.781,0.037
1,J004743+015440,1.336,0.024,1610,150,13820,850,8.029,0.037
4,J012910+145935,1.125,0.026,2600,120,10000,250,8.411,0.044
5,J072326+414608,0.932,0.03,1480,130,12080,630,8.169,0.044
13,J091207+523960,1.113,0.019,1680,90,11770,870,8.166,0.031
14,J091208+505009,1.142,0.025,910,220,11810,890,8.182,0.039
17,J093355+510925,0.979,0.044,100,,16840,1310,7.728,0.094
21,J095838+202508,1.194,0.021,100,,15610,1360,7.801,0.037
24,J103344+635317,1.479,0.025,1430,210,11310,890,8.242,0.039
29,J110452+475204,0.68,0.035,1700,190,13150,1370,8.046,0.053
30,J112224+412052,0.931,0.023,100,,16840,1100,7.749,0.037
31,J112848+524509,0.928,0.031,950,450,11700,520,8.214,0.052
32,J112933+493525,0.704,0.04,100,,11070,650,8.307,0.061
33,J113304+651341,0.91,0.024,1430,230,14080,880,7.983,0.039
35,J115959+382422,0.86,0.025,100,,16380,1000,7.786,0.038
36,J120934+305326,1.293,0.017,1890,60,11940,340,8.165,0.033
40,J124423+021540,1.553,0.017,1000,110,12270,320,8.163,0.025
41,J124619+444902,1.473,0.019,1520,130,13400,570,8.012,0.041
42,J124835+123403,1.253,0.023,1330,120,12400,620,8.163,0.036
52,J132633+421824,1.348,0.023,1570,140,11220,510,8.216,0.032
57,J141013+434435,1.278,0.023,850,190,13830,590,8.021,0.035
58,J144010+461937,1.558,0.02,730,170,11610,890,8.206,0.033
59,J151707+370512,1.508,0.021,830,120,10120,200,8.316,0.032
61,J155945+403325,1.025,0.025,1530,110,12450,730,8.12,0.039
62,J160437+081959,1.34,0.043,100,,12800,940,8.153,0.064
63,J164607+313054,1.288,0.043,100,,12840,1120,8.097,0.065
