# 12 + log(O/H) , log(N/O)
nan,nan
nan,nan
7.983853932025310129e+00,-1.113089804744609390e+00
nan,nan
8.104989590698574276e+00,-1.096088358837141952e+00
8.126985459628457420e+00,-8.540601200941675408e-01
8.162225844492246196e+00,-1.170872803911160887e+00
7.734383994467779466e+00,-9.819277482037060967e-01
7.872551373936869545e+00,-1.636790186819827131e+00
8.219014053558941768e+00,-1.123629084227409924e+00
8.073659213786207545e+00,-1.153451999523045668e+00
nan,nan
7.870113250854054776e+00,-1.300558571921571760e+00
nan,nan
7.965651830578385884e+00,-1.184156012276653902e+00
7.810907761106925307e+00,-6.186489153894018100e-01
8.125181942798274548e+00,-1.065443394317262316e+00
8.157278321135617460e+00,-1.242360664566727335e+00
8.063777821385809119e+00,-1.173342060848775237e+00
8.149083555636451592e+00,-1.334675530700805135e+00
8.241881392170393283e+00,-1.226624187013198419e+00
8.045826659876345488e+00,-1.162823174490548173e+00
8.179180541288413764e+00,-1.199138810146260781e+00
8.333983068082867263e+00,-1.073493197500318352e+00
8.103818223602569759e+00,-1.242563930182114751e+00
nan,nan
8.074762931091932217e+00,-1.294499748325032229e+00
